FLUIDIGM,LIG3,RPA3,CDK7,DDB2,ERCC5,ERCC1,NBN,ATR,CHEK1,CHEK2,TP53,treatment
CRC249/3,0.988,-0.141,-1.361,-0.086,1.011,0.251,-0.654,0.547,-0.293,-0.332,-0.437,0
CRC251,-1.32,1.55,1.036,0.144,-2.453,0.026,-0.502,-0.918,0.007,1.301,-1.356,1
CRC251/3,0.407,0.164,-0.506,-0.68,-1.152,-0.429,-1.458,-0.176,-0.729,0.213,-1.123,0
CRC260,-0.87,0.751,1.017,0.897,-1.729,0.124,0.319,-1.105,1.097,0.355,-0.997,1
CRC260/3,2.326,-0.429,-0.135,0.635,0.089,0.247,0.026,1.671,0.566,-0.455,-0.796,0
CRC65,-1.7,-0.108,-0.38,-0.268,-1.21,-1.577,1.33,-2.093,0.146,-0.147,-0.251,1
CRC65/2,-0.534,0.975,1.471,0.919,-0.971,-0.72,0.972,-0.161,0.801,0.982,-0.637,1
CRC65/3,0.759,-0.209,-0.404,0.462,1.114,-0.139,-0.354,0.801,0.333,-0.78,-0.187,0
P1,-0.53,0.669,1.401,1.305,-1.227,0.326,0.04,-0.152,1.82,0.488,-0.999,1

P1/3,-0.503,-0.745,0.501,-0.921,-0.631,0.803,-0.832,0.249,-0.855,-0.109,-1.03,0
P2,-2.104,-0.284,-0.24,-0.567,-1.5,-1.15,0.149,-0.81,-0.254,0.309,1.197,1
P2/3,-0.588,-0.282,-1.109,-0.383,-0.248,-0.092,-0.646,-0.026,-0.116,-0.567,-1.003,0
P5,0.153,-0.135,0.8,0.554,-3.941,2.08,-2.09,0.942,1.064,-0.235,5.423,1
P5/3,-0.047,1.12,-0.682,-0.145,-0.536,-0.889,0.335,-0.587,0.223,0.159,-0.678,0
